date,annee,mois,region,marche,categorie,produit,unite,prix_fcfa,source
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Viandes & Protéines,Œufs,douzaine,1421,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Condiments & Épices,Ail,kg,2322,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Fruits,Ananas,pièce,526,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Légumineuses,Arachide,kg,1177,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Fruits,Avocat,kg,672,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Bananes & Plantains,Banane dessert,kg,411,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Bananes & Plantains,Banane plantain,régime,1924,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Céréales,Blé,kg,565,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Viandes & Protéines,Bœuf,kg,2559,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Boissons & Cacao,Cacao,kg,1988,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Boissons & Cacao,Café robusta,kg,3105,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Légumes,Carotte,kg,628,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Légumes,Choux,pièce,512,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Viandes & Protéines,Chèvre,kg,4008,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Poissons & Fruits de mer,Crevettes sèches,kg,5355,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Viandes & Protéines,Escargot,kg,1473,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Farines & Dérivés,Farine de blé,kg,573,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Farines & Dérivés,Farine de maïs,kg,439,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Légumes,Feuilles d'okok,botte,298,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Légumes,Feuilles de manioc,botte,180,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Farines & Dérivés,Gari (farine de manioc),kg,360,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Condiments & Épices,Gingembre,kg,1144,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Légumes,Gombo (okra),kg,271,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Légumineuses,Haricot sec,kg,970,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Huiles & Matières grasses,Huile de palme,litre,915,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Huiles & Matières grasses,Huile végétale raffinée,litre,1135,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Tubercules,Igname,kg,344,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Tubercules,Macabo (taro),kg,285,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Fruits,Mangue,kg,288,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Tubercules,Manioc cossette,kg,187,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Tubercules,Manioc frais,kg,181,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Poissons & Fruits de mer,Maquereau frais,kg,1575,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Céréales,Maïs blanc,kg,228,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Céréales,Maïs jaune,kg,224,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Céréales,Millet,kg,323,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Viandes & Protéines,Mouton,kg,3860,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Légumineuses,Niébé (haricot),kg,853,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Légumes,Oignon,kg,913,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Condiments & Épices,Oignon séché,kg,750,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Fruits,Orange,kg,525,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Fruits,Papaye,kg,216,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Fruits,Pastèque,kg,209,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Tubercules,Patate douce,kg,190,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Légumes,Piment frais,kg,916,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Légumineuses,Pois jaune,kg,640,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Tubercules,Pomme de terre,kg,394,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Viandes & Protéines,Porc,kg,2694,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Viandes & Protéines,Poulet,kg,2493,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Huiles & Matières grasses,Pâte d'arachide,kg,1733,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Céréales,Riz importé long grain,kg,676,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché Artisanal de Tsinga,Céréales,Riz local,kg,616,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Poissons & Fruits de mer,Sardine,kg,926,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Condiments & Épices,Sel,kg,305,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Poissons & Fruits de mer,Silure (poisson-chat),kg,1933,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Légumineuses,Soja,kg,578,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Céréales,Sorgho blanc,kg,286,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Céréales,Sorgho rouge,kg,305,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Condiments & Épices,Sucre raffiné,kg,877,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché NSAM,Farines & Dérivés,Tapioca,kg,364,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Boissons & Cacao,Thé,kg,2313,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Nkoa-Bang,Poissons & Fruits de mer,Tilapia frais,kg,1759,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Poissons & Fruits de mer,Tilapia fumé,kg,2709,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Légumes,Tomate,kg,674,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Mokolo,Viandes & Protéines,Wagashi (fromage),kg,1420,WFP/AgriPulse
2019-01-01,2019,1,Centre,Marché de Biyem-Assi,Viandes & Protéines,Œufs,douzaine,1549,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Condiments & Épices,Ail,kg,1689,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Fruits,Ananas,pièce,402,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Légumineuses,Arachide,kg,771,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Fruits,Avocat,kg,536,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Bananes & Plantains,Banane dessert,kg,294,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Bananes & Plantains,Banane plantain,régime,1564,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Céréales,Blé,kg,441,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Viandes & Protéines,Bœuf,kg,1936,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Boissons & Cacao,Cacao,kg,1366,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Boissons & Cacao,Café robusta,kg,2310,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Légumes,Carotte,kg,447,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Légumes,Choux,pièce,431,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Viandes & Protéines,Chèvre,kg,2695,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Poissons & Fruits de mer,Crevettes sèches,kg,4238,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Viandes & Protéines,Escargot,kg,989,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Farines & Dérivés,Farine de blé,kg,468,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Farines & Dérivés,Farine de maïs,kg,350,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Légumes,Feuilles d'okok,botte,250,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumes,Feuilles de manioc,botte,136,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Farines & Dérivés,Gari (farine de manioc),kg,296,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Condiments & Épices,Gingembre,kg,874,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Légumes,Gombo (okra),kg,205,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumineuses,Haricot sec,kg,780,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Huiles & Matières grasses,Huile de palme,litre,774,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Huiles & Matières grasses,Huile végétale raffinée,litre,932,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Tubercules,Igname,kg,259,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Tubercules,Macabo (taro),kg,214,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Fruits,Mangue,kg,217,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Tubercules,Manioc cossette,kg,140,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Tubercules,Manioc frais,kg,123,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Poissons & Fruits de mer,Maquereau frais,kg,1153,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Céréales,Maïs blanc,kg,177,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Céréales,Maïs jaune,kg,170,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Céréales,Millet,kg,240,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Viandes & Protéines,Mouton,kg,2928,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumineuses,Niébé (haricot),kg,672,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumes,Oignon,kg,687,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Condiments & Épices,Oignon séché,kg,623,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Fruits,Orange,kg,362,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Fruits,Papaye,kg,148,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Fruits,Pastèque,kg,162,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Tubercules,Patate douce,kg,161,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumes,Piment frais,kg,740,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Légumineuses,Pois jaune,kg,550,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Tubercules,Pomme de terre,kg,309,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Viandes & Protéines,Porc,kg,2095,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Viandes & Protéines,Poulet,kg,1947,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Huiles & Matières grasses,Pâte d'arachide,kg,1264,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Céréales,Riz importé long grain,kg,506,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Céréales,Riz local,kg,471,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Poissons & Fruits de mer,Sardine,kg,691,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Condiments & Épices,Sel,kg,213,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Poissons & Fruits de mer,Silure (poisson-chat),kg,1383,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Légumineuses,Soja,kg,512,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Céréales,Sorgho blanc,kg,233,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Céréales,Sorgho rouge,kg,241,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Condiments & Épices,Sucre raffiné,kg,658,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Farines & Dérivés,Tapioca,kg,307,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Bertoua,Boissons & Cacao,Thé,kg,1863,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Poissons & Fruits de mer,Tilapia frais,kg,1426,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Dimako,Poissons & Fruits de mer,Tilapia fumé,kg,2115,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Batouri,Légumes,Tomate,kg,532,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché de Yokadouma,Viandes & Protéines,Wagashi (fromage),kg,1169,WFP/AgriPulse
2019-01-01,2019,1,Est,Marché d'Abong-Mbang,Viandes & Protéines,Œufs,douzaine,1240,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Grand Marché de Maroua,Condiments & Épices,Ail,kg,1652,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Grand Marché de Maroua,Fruits,Ananas,pièce,439,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Légumineuses,Arachide,kg,825,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Fruits,Avocat,kg,608,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Bananes & Plantains,Banane dessert,kg,313,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Grand Marché de Maroua,Bananes & Plantains,Banane plantain,régime,1515,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Céréales,Blé,kg,485,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Viandes & Protéines,Bœuf,kg,2045,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Boissons & Cacao,Cacao,kg,1553,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Boissons & Cacao,Café robusta,kg,2672,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Légumes,Carotte,kg,475,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Légumes,Choux,pièce,398,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Viandes & Protéines,Chèvre,kg,2732,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Poissons & Fruits de mer,Crevettes sèches,kg,4351,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Grand Marché de Maroua,Viandes & Protéines,Escargot,kg,1026,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Farines & Dérivés,Farine de blé,kg,510,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Farines & Dérivés,Farine de maïs,kg,347,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Légumes,Feuilles d'okok,botte,222,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Légumes,Feuilles de manioc,botte,130,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Farines & Dérivés,Gari (farine de manioc),kg,282,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Condiments & Épices,Gingembre,kg,985,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Légumes,Gombo (okra),kg,210,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Légumineuses,Haricot sec,kg,776,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Huiles & Matières grasses,Huile de palme,litre,739,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Huiles & Matières grasses,Huile végétale raffinée,litre,851,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Tubercules,Igname,kg,267,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Tubercules,Macabo (taro),kg,214,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Fruits,Mangue,kg,259,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Tubercules,Manioc cossette,kg,148,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Tubercules,Manioc frais,kg,133,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Poissons & Fruits de mer,Maquereau frais,kg,1226,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Céréales,Maïs blanc,kg,172,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Céréales,Maïs jaune,kg,180,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Céréales,Millet,kg,244,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Viandes & Protéines,Mouton,kg,3007,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Grand Marché de Maroua,Légumineuses,Niébé (haricot),kg,719,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Légumes,Oignon,kg,720,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Condiments & Épices,Oignon séché,kg,642,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Yagoua,Fruits,Orange,kg,371,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Pouss,Fruits,Papaye,kg,161,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Kousséri,Fruits,Pastèque,kg,170,WFP/AgriPulse
2019-01-01,2019,1,Extrême-Nord,Marché de Mokolo (EN),Tubercules,Patate douce,kg,164,WFP/AgriPulse
